rollout/ep_rew_mean,time/time_elapsed,rollout/exploration_rate,time/fps,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/loss,train/learning_rate
0.3,744,0.9261733333333333,74,41400,1.26,55370,,,
0.34,745,0.926004,74,41500,1.27,55497,,,
0.37,747,0.92584,74,41600,1.23,55620,,,
0.46,749,0.9256586666666666,74,41700,1.36,55756,,,
0.69,751,0.9254626666666668,74,41800,1.47,55903,,,
0.42,753,0.9252800000000001,74,41900,1.37,56040,,,
0.39,755,0.9251053333333332,74,42000,1.31,56171,,,
0.39,756,0.924928,74,42100,1.33,56304,,,
0.52,758,0.9247426666666667,74,42200,1.39,56443,,,
0.42,760,0.9245639999999999,74,42300,1.34,56577,,,
0.41,762,0.924388,74,42400,1.32,56709,,,
0.41,764,0.9242146666666666,74,42500,1.3,56839,,,
0.6,765,0.9240266666666668,74,42600,1.41,56980,,,
0.41,767,0.923848,74,42700,1.34,57114,,,
0.48,769,0.9236679999999999,74,42800,1.35,57249,,,
0.48,771,0.923484,74,42900,1.38,57387,,,
0.57,772,0.9232960000000001,74,43000,1.41,57528,,,
0.33,774,0.923128,74,43100,1.26,57654,,,
0.26,776,0.922968,74,43200,1.2,57774,,,
0.47,778,0.9227866666666666,74,43300,1.36,57910,,,
0.34,780,0.9226186666666667,74,43400,1.26,58036,,,
0.47,781,0.9224386666666666,74,43500,1.35,58171,,,
0.37,783,0.9222666666666666,74,43600,1.29,58300,,,
0.36,785,0.9220986666666666,74,43700,1.26,58426,,,
0.7,787,0.9219013333333332,74,43800,1.48,58574,,,
0.4,789,0.921724,74,43900,1.33,58707,,,
0.62,790,0.9215333333333333,74,44000,1.43,58850,,,
0.35,792,0.92136,74,44100,1.3,58980,,,
0.56,794,0.9211733333333334,74,44200,1.4,59120,,,
0.56,796,0.9209893333333334,74,44300,1.38,59258,,,
0.44,798,0.9208106666666667,74,44400,1.34,59392,,,
0.43,799,0.9206319999999999,74,44500,1.34,59526,,,
0.55,801,0.920444,74,44600,1.41,59667,,,
0.2,803,0.9202866666666667,74,44700,1.18,59785,,,
0.32,805,0.9201146666666666,74,44800,1.29,59914,,,
0.24,807,0.919956,74,44900,1.19,60033,,,
0.41,808,0.9197786666666667,74,45000,1.33,60166,,,
0.39,810,0.9196066666666667,74,45100,1.29,60295,,,
0.46,812,0.9194226666666667,74,45200,1.38,60433,,,
0.42,814,0.9192453333333332,74,45300,1.33,60566,,,
0.34,816,0.919076,74,45400,1.27,60693,,,
0.34,817,0.9189053333333332,74,45500,1.28,60821,,,
0.63,819,0.91872,74,45600,1.39,60960,,,
0.46,821,0.9185386666666666,74,45700,1.36,61096,,,
0.53,823,0.9183546666666667,74,45800,1.38,61234,,,
0.38,825,0.9181813333333333,74,45900,1.3,61364,,,
0.38,827,0.9180066666666666,74,46000,1.31,61495,,,
